date,actual_balances,required_reserves_avg,averaging_period_days,spread
2004-09-01,195.45666666666665,8.7,30,186.75666666666666
2004-10-01,231.54032258064515,9.1,31,222.44032258064516
2004-11-01,282.4883333333334,11.5,30,270.9883333333334
2004-12-01,368.25967741935483,12.0,31,356.25967741935483
2005-01-01,356.6758064516129,12.7,31,343.9758064516129
2005-02-01,265.6303571428571,13.2,28,252.43035714285713
2005-03-01,286.12580645161296,13.4,31,272.725806451613
2005-04-01,258.43000000000006,12.9,30,245.53000000000006
2005-05-01,239.0129032258064,14.4,31,224.6129032258064
2005-06-01,242.8233333333333,15.1,30,227.7233333333333
2005-07-01,246.86612903225807,15.8,31,231.06612903225806
2005-08-01,267.33225806451617,16.3,31,251.03225806451616
2005-09-01,297.8116666666666,16.8,30,281.0116666666666
2005-10-01,317.6854838709677,16.9,31,300.7854838709677
2005-11-01,274.835,16.5,30,258.335
2005-12-01,366.5193548387097,17.9,31,348.61935483870974
2006-01-01,399.04193548387104,19.2,31,379.84193548387105
2006-02-01,326.26785714285717,19.2,28,307.0678571428572
2006-03-01,325.8451612903226,19.5,31,306.3451612903226
2006-04-01,323.41666666666663,20.2,30,303.21666666666664
2006-05-01,353.9483870967741,20.7,31,333.24838709677414
2006-06-01,365.7316666666666,21.6,30,344.1316666666666
2006-07-01,388.3499999999999,22.5,31,365.8499999999999
2006-08-01,357.31935483870967,23.7,31,333.6193548387097
2006-09-01,356.32666666666665,23.9,30,332.4266666666667
2006-10-01,359.7225806451612,38.0,31,321.7225806451612
2006-11-01,337.58166666666676,40.3,30,297.28166666666675
2006-12-01,492.6870967741936,43.2,31,449.4870967741936
2007-01-01,506.716129032258,46.5,31,460.216129032258
2007-02-01,405.04642857142863,71.2,28,333.84642857142865
2007-03-01,595.0354838709678,73.4,31,521.6354838709678
2007-04-01,426.55,76.8,30,349.75
2007-05-01,430.23225806451615,81.7,31,348.53225806451616
2007-06-01,470.68,90.0,30,380.68
2007-07-01,480.4548387096775,112.9,31,367.5548387096775
2007-08-01,445.38548387096773,118.9,31,326.48548387096776
2007-09-01,466.82166666666666,118.6,30,348.2216666666667
2007-10-01,491.0822580645161,96.8,31,394.2822580645161
2007-11-01,510.56666666666655,122.5,30,388.06666666666655
2007-12-01,704.7806451612904,124.1,31,580.6806451612904
2008-01-01,673.1822580645161,130.8,31,542.382258064516
2008-02-01,521.343103448276,178.5,29,342.843103448276
2008-03-01,556.333870967742,225.9,31,330.433870967742
2008-04-01,550.2016666666669,227.9,30,322.30166666666696
2008-05-01,580.0983870967742,239.2,31,340.89838709677423
2008-06-01,607.4316666666667,243.2,30,364.23166666666674
2008-07-01,606.109677419355,312.6,31,293.50967741935494
2008-08-01,618.6161290322582,319.6,31,299.01612903225816
2008-09-01,731.9016666666668,150.4,30,581.5016666666668
2008-10-01,581.0548387096775,42.1,31,538.9548387096775
2008-11-01,590.0933333333335,37.6,30,552.4933333333335
2008-12-01,644.1112903225807,37.5,31,606.6112903225807
2009-01-01,681.2741935483872,37.0,31,644.2741935483872
2009-02-01,413.47499999999997,39.1,28,374.37499999999994
2009-03-01,397.4209677419355,41.8,31,355.6209677419355
2009-04-01,388.27666666666676,40.9,30,347.3766666666668
2009-05-01,400.1758064516129,39.8,31,360.3758064516129
2009-06-01,419.2733333333334,78.8,30,340.4733333333334
2009-07-01,406.241935483871,121.7,31,284.541935483871
2009-08-01,465.2096774193549,163.2,31,302.0096774193549
2009-09-01,501.8866666666668,199.9,30,301.9866666666668
2009-10-01,535.8499999999999,199.7,31,336.1499999999999
2009-11-01,561.63,195.4,30,366.23
2009-12-10,713.198387096774,195.0,31,518.198387096774
2010-01-10,528.7338709677418,200.3,31,328.4338709677418
2010-02-10,476.2196428571429,203.5,28,272.7196428571429
2010-03-10,510.71935483870965,197.1,31,313.6193548387097
2010-04-10,500.5516666666666,185.6,30,314.9516666666666
2010-05-10,504.333870967742,205.3,31,299.03387096774196
2010-06-10,572.0433333333334,206.8,30,365.2433333333334
2010-07-10,494.29999999999995,207.8,31,286.49999999999994
2010-08-10,491.04516129032237,217.3,31,273.74516129032236
2010-09-10,502.83,219.8,30,283.03
2010-10-10,511.6387096774194,225.7,31,285.9387096774194
2010-11-10,523.14,227.5,30,295.64
2010-12-10,755.3887096774195,233.1,31,522.2887096774194
2011-01-10,561.3758064516129,246.0,31,315.3758064516129
2011-02-10,525.2107142857143,250.6,28,274.61071428571427
2011-03-10,552.2822580645161,304.0,31,248.2822580645161
2011-04-10,604.558333333333,362.5,30,242.05833333333305
2011-05-10,640.7225806451613,418.1,31,222.6225806451613
2011-06-10,655.4883333333333,430.4,30,225.08833333333337
2011-07-10,663.7258064516128,437.4,31,226.32580645161283
2011-08-10,670.7870967741934,446.7,31,224.0870967741934
2011-09-10,704.5666666666665,455.0,30,249.5666666666665
2011-10-10,699.9,469.2,31,230.7
2011-11-10,719.6633333333335,486.2,30,233.46333333333354
2011-12-10,953.2241935483873,501.7,31,451.52419354838736
2012-01-10,773.6048387096772,518.1,31,255.5048387096772
2012-02-10,724.7196428571432,526.7,29,198.01964285714314
2012-03-10,710.1661290322579,512.9,31,197.26612903225794
2012-04-10,692.8683333333336,508.1,30,184.76833333333354
2012-05-10,688.5338709677418,517.3,31,171.23387096774184
2012-06-10,707.6216666666666,526.4,30,181.22166666666658
2012-07-10,720.2790322580646,543.1,31,177.17903225806458
2012-08-10,712.5387096774191,540.6,31,171.93870967741907
2012-09-10,729.2166666666668,549.2,30,180.01666666666677
2012-10-10,738.0693548387098,554.3,31,183.7693548387099
2012-11-10,744.7016666666666,563.3,30,181.40166666666664
2012-12-10,1054.9790322580645,569.5,31,485.47903225806454
2013-01-10,841.8306451612904,593.1,31,248.73064516129034
2013-02-10,789.8696428571432,601.0,28,188.86964285714316
2013-03-10,798.2435483870968,605.5,31,192.74354838709678
2013-04-10,841.4666666666669,640.1,30,201.3666666666669
2013-05-10,858.698387096774,666.0,31,192.698387096774
2013-06-10,890.6966666666668,676.5,30,214.19666666666683
2013-07-10,871.4274193548389,686.1,31,185.32741935483887
2013-08-10,840.5499999999998,674.9,31,165.64999999999986
2013-09-10,865.705,679.6,30,186.10500000000002
2013-10-10,862.2161290322582,675.3,31,186.91612903225825
2013-11-10,888.1166666666667,683.6,30,204.51666666666665
2013-12-10,1242.059677419355,794.1,31,447.959677419355
2014-01-10,1067.0774193548389,825.8,31,241.2774193548389
2014-02-10,1027.355357142857,846.1,28,181.25535714285695
2014-03-10,1050.0274193548385,866.0,31,184.02741935483846
2014-04-10,1060.5583333333334,883.4,30,177.15833333333342
2014-05-10,1060.4935483870966,894.6,31,165.89354838709653
2014-06-10,1078.405,880.7,30,197.70499999999993
2014-07-10,1043.0354838709677,877.4,31,165.63548387096773
2014-08-10,1003.5967741935484,833.6,31,169.9967741935484
2014-09-10,1019.7950000000001,861.1,30,158.69500000000005
2014-10-10,1052.0467741935486,871.7,31,180.34677419354853
2014-11-10,1094.0883333333334,909.0,30,185.08833333333337
2014-12-10,1518.6951612903222,966.9,31,551.7951612903222
2015-01-10,1224.9064516129033,1047.1,31,177.8064516129034
2015-02-10,1214.5803571428569,1066.7,28,147.88035714285684
2015-03-10,1215.8774193548386,1102.8,31,113.07741935483864
2015-04-10,1188.9566666666663,1063.3,30,125.6566666666663
2015-05-10,1138.9467741935484,1006.2,31,132.7467741935484
2015-06-10,1163.0483333333332,1020.6,30,142.44833333333315
2015-07-10,1201.9177419354835,1048.4,31,153.5177419354834
2015-08-10,1205.0016129032256,1068.6,31,136.40161290322567
2015-09-10,1398.0783333333334,1257.2,30,140.87833333333333
2015-10-10,1465.532258064516,1320.6,31,144.9322580645162
2015-11-10,1423.2816666666663,1290.0,30,133.2816666666663
2015-12-10,1665.2806451612905,1318.7,31,346.5806451612905
2016-01-10,1529.3824483437495,1367.1,32,162.2824483437496
2016-02-11,1581.0142857142855,1416.2,28,164.81428571428546
2016-03-10,1566.4357142857139,1439.1,28,127.33571428571395
2016-04-07,1514.8114285714291,1380.1,35,134.71142857142922
2016-05-12,1562.607142857142,1451.1,28,111.50714285714207
2016-06-09,1569.771428571429,1443.0,28,126.77142857142894
2016-07-07,1576.6392857142862,1442.6,28,134.03928571428628
2016-08-04,1628.0885714285716,1525.5,35,102.58857142857164
2016-09-08,1884.5,1760.0,28,124.5
2016-10-06,1867.9,1761.4,35,106.5
2016-11-10,1852.2,1746.7,28,105.5
2016-12-08,1978.8,1765.6,35,213.20000000000005
2017-01-11,1858.2,1743.3,28,114.90000000000009
2017-02-08,1989.4,1874.4,28,115.0
2017-03-08,1971.0,1865.1,35,105.90000000000009
2017-04-12,1981.0,1848.1,28,132.9000000000001
2017-05-10,1931.4,1841.6,28,89.80000000000018
2017-06-07,1945.9,1861.4,35,84.5
2017-07-12,1967.1,1871.4,28,95.69999999999982
2017-08-09,1983.0,1901.7,28,81.29999999999995
2017-09-06,1979.9,1895.1,35,84.80000000000018
2017-10-11,1974.1,1874.3,28,99.79999999999995
2017-11-08,1967.7,1885.0,28,82.70000000000005
2017-12-06,2172.9,1901.3,35,271.60000000000014
2018-01-10,2011.1,1907.2,28,103.89999999999986
2018-02-07,2001.1,1908.5,28,92.59999999999991
2018-03-07,2024.6,1929.5,35,95.09999999999991
2018-04-11,2041.2,1936.3,28,104.90000000000009
2018-05-09,2071.3,1992.4,28,78.90000000000009
2018-06-06,2104.9,2016.1,35,88.80000000000018
2018-07-11,2105.8,2023.8,28,82.00000000000023
2018-08-08,2100.3,2025.2,28,75.10000000000014
2018-09-05,2236.1,2167.8,35,68.29999999999973
2018-10-10,2278.5,2210.1,28,68.40000000000009
2018-11-07,2273.9,2200.5,28,73.40000000000009
2018-12-05,2394.6,2202.2,35,192.4000000000001
2019-01-09,2331.4,2258.0,28,73.40000000000009
2019-02-06,2337.5,2272.8,28,64.69999999999982
2019-03-06,2346.3,2278.9,35,67.40000000000009
2019-04-10,2377.0,2293.5,28,83.5
2019-05-08,2389.1,2324.4,28,64.69999999999982
2019-06-05,2393.7,2333.9,35,59.79999999999973
2019-07-10,2403.8,2334.8,28,69.0
2019-08-07,2424.3,2362.6,28,61.70000000000027
2019-09-04,2490.2,2429.5,35,60.69999999999982
2019-10-09,2488.6,2430.2,28,58.40000000000009
2019-11-06,2499.1,2436.2,35,62.90000000000009
2019-12-11,2526.4,2427.8,35,98.59999999999991
2020-01-15,2479.3,2418.4,28,60.90000000000009
2020-02-12,2474.1,2398.3,28,75.79999999999973
2020-03-11,2536.4,2430.8,28,105.59999999999991
2020-04-08,2684.8,2604.9,35,79.90000000000009
2020-05-13,2699.5,2634.6,28,64.90000000000009
2020-06-10,2635.7,2569.5,28,66.19999999999982
2020-07-08,2589.6,2528.5,28,61.09999999999991
2020-08-05,2631.7,2577.9,35,53.79999999999973
2020-09-09,2699.0,2633.9,28,65.09999999999991
2020-10-07,2753.1,2688.3,35,64.79999999999973
2020-11-11,2806.4,2736.7,28,69.70000000000027
2020-12-09,2902.0,2790.7,35,111.30000000000018
2021-01-13,2878.5,2818.1,28,60.40000000000009
2021-02-10,2895.3,2825.0,28,70.30000000000018
2021-03-10,2964.7,2906.3,28,58.399999999999636
2021-04-07,3010.7,2934.1,35,76.59999999999991
2021-05-12,3081.6,3005.8,28,75.79999999999973
2021-06-09,3134.3,3032.0,28,102.30000000000018
2021-07-07,3169.3,3038.5,35,130.80000000000018
2021-08-11,3193.5,3058.6,28,134.9000000000001
2021-09-08,3242.9,3104.1,35,138.80000000000018
2021-10-13,3264.6,3131.5,28,133.0999999999999
2021-11-10,3292.1,3148.9,28,143.19999999999982
2021-12-08,3352.8,3207.4,35,145.4000000000001
2022-01-12,3323.2,3244.6,28,78.59999999999991
2022-02-09,3307.2,3304.6,28,2.599999999999909
2022-03-09,1464.9,1283.1,35,181.80000000000018
2022-04-13,1541.8,1420.9,35,120.89999999999986
2022-05-18,1464.9,1325.5,28,139.4000000000001
2022-06-15,1774.4,1631.2,28,143.20000000000005
2022-07-13,1719.6,1568.7,28,150.89999999999986
2022-08-10,1694.4,1562.1,35,132.30000000000018
2022-09-14,2451.6,2320.5,28,131.0999999999999
2022-10-12,2430.3,2323.3,35,107.0
2022-11-16,2406.7,2305.2,28,101.5
2022-12-14,2460.6,2322.1,35,138.5
2023-01-18,2513.2,2431.6,28,81.59999999999991
2023-02-15,2495.8,2402.1,28,93.70000000000027
2023-03-15,2539.5,2453.2,28,86.30000000000018
2023-04-12,3634.2,3547.9,35,86.29999999999973
2023-05-17,3693.1,3611.6,28,81.5
2023-06-14,3689.9,3621.4,28,68.5
2023-07-12,4328.4,4255.8,28,72.59999999999945
2023-08-09,4467.4,4385.3,35,82.09999999999945
2023-09-13,4577.9,4503.9,28,74.0
2023-10-11,4641.0,4562.5,35,78.5
2023-11-15,4667.076071714286,4595.6,28,71.47607171428535
2023-12-13,4656.088571428571,4564.6,35,91.48857142857105
2024-01-17,4723.0,4647.3,28,75.69999999999982
2024-02-14,4799.78,4712.3,28,87.47999999999956
2024-03-13,4658.6,4571.8,28,86.80000000000018
2024-04-10,4670.0,4581.9,28,88.10000000000036
2024-05-08,4751.6,4677.0,28,74.60000000000036
2024-06-05,4954.5,4742.1,35,212.39999999999964
2024-07-10,5134.3,4769.3,35,365.0
2024-08-14,4989.1,4746.3,28,242.80000000000018
2024-09-11,4923.8,4806.6,28,117.19999999999982
2024-10-09,5051.7,4925.4,35,126.30000000000018
2024-11-13,5135.4,5019.5,28,115.89999999999964
2024-12-11,5291.5,5136.3,35,155.19999999999982
2025-01-15,5232.9,5150.2,28,82.69999999999982
2025-02-12,5239.2,5181.7,28,57.5
2025-03-12,5110.0,5064.8,28,45.19999999999982
2025-04-09,5052.1,4995.7,28,56.400000000000546
2025-05-07,5009.7,4963.4,28,46.30000000000018
2025-06-04,5027.02,4960.1,35,66.92000000000007
2025-07-09,4996.1,4950.9,35,45.20000000000073
2025-08-13,5058.6,5003.6,28,55.0
2025-09-10,5147.3,5080.5,28,66.80000000000018
2025-10-08,5250.5,5185.4,35,65.10000000000036
2025-11-12,5265.5,5203.3,28,62.19999999999982
2025-12-10,5428.5,5307.6,35,120.89999999999964
2026-01-14,5414.2,5314.3,28,99.89999999999964
2026-02-11,5451.2,5342.2,28,109.0
2026-03-11,5407.2,5301.4,35,105.80000000000018
